id,WT_Veh1,WT_Veh2,WT_Veh3,WT_E2-1,WT_E2-2,WT_E2-3,baseMean
HNRNPUL2,29.6802,30.9686,30.4922,29.6526,30.3011,27.6206,29.78588333
MPZL1,28.7752,28.8567,27.5602,29.2461,30.2308,29.6805,29.05825
NCAPG,11.7402,13.2914,10.2294,12.1568,11.2836,12.2109,11.81871667
RPL5,466.206,491.496,454.812,485.321,491.999,477.939,477.9621667
ZBTB7C,0.181472,0.345956,0.0676674,0.420795,0.293788,0.128306,0.239664067
SH3GLB2,216.47,197.64,224.794,182.767,181.081,170.27,195.5036667
AL020996.1,0.318869,0.117015,0.273129,0.235591,0.249846,0.319905,0.2523925
SLC35C1,18.8162,17.0265,19.6176,18.4976,17.3703,17.1226,18.07513333
ZBED6,18.3884,18.0652,16.8578,15.0479,16.872,16.306,16.92288333
RSPH6A,0,0.0231648,0,0,0,0,0.0038608
ASNA1,57.5055,54.9021,59.0238,55.039,48.6898,48.5306,53.94846667
ASCC3,11.5264,12.2199,11.756,12.4615,11.9957,13.09,12.17491667
WDR54,25.2523,25.0659,27.1835,23.2231,21.8939,23.2997,24.31973333
C10orf91,0.154409,0.27786,0.371687,0.220826,0.172649,0.108507,0.217656333
MTFMT,6.60675,7.14684,6.58931,8.2335,8.18753,8.29312,7.509508333
HLA-F,4.60768,4.59718,6.86338,4.25292,5.63321,5.03878,5.165525
SLC35F4,0,0,0,0,0,0,0
FRAS1,4.22108,3.79504,3.8078,3.66133,3.71998,3.78896,3.832365
FOXA2,0,0.00552342,0.0136773,0.021125,0,0.0129683,0.008882337
ZNF524,5.5775,5.2476,6.12419,4.13772,5.69669,4.20543,5.164855
KRTAP4-11,0,0,0,0,0,0,0
BLMH,8.68038,9.04179,10.035,10.0491,10.8886,9.5797,9.712428333
CLIC2,0.393505,0.4577,0.564896,0.820206,0.274764,0.53502,0.507681833
ZNF516,7.85023,9.64064,8.53718,13.483,13.4892,10.4387,10.57315833
PNLIPRP1,0,0,0,0,0,0,0
USP14,41.8123,44.0357,43.2291,48.0696,45.282,48.8143,45.20716667
RMDN3,27.6248,28.9019,29.4465,30.2813,26.4874,26.6148,28.22611667
GAL,4.54164,4.29744,6.63805,8.23477,5.81979,5.50137,5.838843333
ZNF17,1.83086,2.19827,1.66215,2.59206,2.11064,2.10827,2.083708333
TARS2,27.6915,27.4601,28.9293,23.7318,24.0641,24.1589,26.00595
SLPI,1.59174,2.06243,1.7763,2.08612,0.934105,1.68422,1.6891525
OR2AT4,0,0,0,0,0,0,0
DEFB108B,0,0,0,0,0,0,0
PGA3,0.0231631,0,0,0,0.021575,0.00668701,0.008570852
GTPBP1,4.9499,4.992,6.92222,4.95934,5.88592,4.98781,5.449531667
NANOG,0.12221,0.0385764,0.112902,0.0523843,0.0391485,0,0.0608702
ZNF629,9.11787,9.23757,9.39148,8.72485,9.1104,8.47529,9.009576667
SMIM21,0,0,0,0,0,0,0
RP11-201K10.3,2.02623,1.8338,2.44678,1.69562,1.04431,2.90279,1.991588333
PPEF2,0.0071513,0,0.00936839,0,0.00809366,0.0106593,0.005878775
PLXNA2,0.924558,0.926059,0.925107,0.765552,0.683735,0.676877,0.816981333
MRFAP1,199.798,199.344,202.608,215.52,221.294,222.17,210.1223333
OR6C65,0,0,0,0,0,0,0
GAR1,26.5807,27.5531,25.2482,34.021,30.239,33.0997,29.45695
FSD1L,1.38314,1.4967,1.49393,1.23581,1.32293,1.06866,1.333528333
RHBDL3,0.0484186,0.0171099,0.056902,0.0612834,0.0547989,0.0400943,0.046434517
RP11-105C20.2,0,0,0,0,0,0,0
AC008948.1,0,0,0,0,0.0376995,0.0310312,0.011455117
CPM,2.03078,1.08685,1.24861,0.910106,1.44161,1.15321,1.311861
ZCCHC18,0.382236,0.38721,0.344954,0.300575,0.346084,0.305971,0.344505
IFNE,0,0,0,0,0,0,0
