ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000009954,4898.72875,0.280614742,0.043252982,6.487754835,8.71E-11,5.10E-10
ENSG00000010017,1602.792182,-0.636377091,0.05416907,-11.74797897,7.23E-32,1.21E-30
ENSG00000010072,372.7483775,-0.219585115,0.078630623,-2.792615723,0.005228376,0.01299629
ENSG00000010165,1106.513969,0.126718444,0.062253495,2.035523366,0.04179824,0.08451318
ENSG00000010219,308.839517,0.32147044,0.074596588,4.309452331,1.64E-05,5.85E-05
ENSG00000010244,3549.43312,0.017868531,0.03638614,0.4910807,0.623369371,0.743593594
ENSG00000010256,2353.025582,0.197732594,0.063541169,3.111881619,0.00185899,0.005002484
ENSG00000010270,530.7651305,0.091711395,0.064641325,1.418773441,0.155965078,0.260965739
ENSG00000010278,3052.485123,-0.981423183,0.080522083,-12.18824885,3.59E-34,6.54E-33
ENSG00000010292,3391.500334,0.850927895,0.051611221,16.4872653,4.53E-61,1.72E-59
ENSG00000010310,56.81667962,-0.175335733,0.149975287,-1.1690975,0.242364351,0.372126116
ENSG00000010318,42.8033233,0.625669191,0.171392189,3.650511691,0.000261718,0.000805489
ENSG00000010322,918.9351429,-0.214262082,0.073056974,-2.932808041,0.003359115,0.008623882
ENSG00000010361,129.8932639,0.021944458,0.115749184,0.189586288,0.849633333,0.904261101
ENSG00000010404,786.2214567,0.209614505,0.069619345,3.010865821,0.002605039,0.006813868
ENSG00000010539,358.1779192,-0.0397497,0.07113856,-0.558764474,0.576322471,0.705610629
ENSG00000010626,128.6622821,0.202806087,0.10562124,1.920125975,0.054841989,0.1069934
ENSG00000010704,255.4516676,-0.083562583,0.087751132,-0.952267866,0.34096115,0.483836298
ENSG00000010803,112.083676,0.716747708,0.12285314,5.834183043,5.41E-09,2.76E-08
ENSG00000010810,17.57850872,0.201495557,0.249671038,0.807044175,0.419641033,0.56458347
ENSG00000010818,233.6685502,-0.755953071,0.093156421,-8.114878836,4.86E-16,4.03E-15
ENSG00000010932,7.957199124,-0.393983555,0.283959327,-1.387464746,0.165300094,0.27433037
ENSG00000011007,1207.181648,-0.031444672,0.049038041,-0.641230184,0.521373142,0.658612008
ENSG00000011009,606.7516789,-0.252860359,0.087132863,-2.902009078,0.003707778,0.009456421
ENSG00000011021,143.3332762,0.09044588,0.137792652,0.656391173,0.511572469,0.650391423
ENSG00000011028,258.4942224,1.612364542,0.100158124,16.09819025,2.63E-58,9.33E-57
ENSG00000011052,511.5912415,0.612699652,0.183051857,3.347137045,0.000816508,0.002327915
ENSG00000011105,329.4764412,-1.001286026,0.07893987,-12.68416114,7.24E-37,1.46E-35
ENSG00000011114,867.2113609,-0.378256498,0.056567448,-6.68682273,2.28E-11,1.38E-10
ENSG00000011132,252.5201943,0.2929089,0.094182931,3.109999854,0.001870874,0.005029198
ENSG00000011143,441.5210354,-0.19102785,0.067994344,-2.80946677,0.004962364,0.012387232
ENSG00000011198,393.5599037,-0.372578057,0.084587544,-4.404644473,1.06E-05,3.87E-05
ENSG00000011243,1520.81995,-0.04756596,0.064318281,-0.73954029,0.459578984,0.602418642
ENSG00000011258,550.7200716,-0.196383052,0.064833361,-3.029043193,0.002453296,0.006446487
ENSG00000011260,1379.529098,0.50787341,0.063896175,7.948416462,1.89E-15,1.51E-14
ENSG00000011275,1534.436519,0.168653611,0.041165697,4.096945347,4.19E-05,0.000143279
ENSG00000011295,1427.127797,-0.201174447,0.048141033,-4.178856027,2.93E-05,0.000101901
ENSG00000011304,4775.960179,0.407761005,0.044292965,9.20599933,3.39E-20,3.50E-19
ENSG00000011332,77.25505336,0.433622803,0.142179154,3.049833892,0.00228968,0.006058369
ENSG00000011347,891.4450627,-0.472108182,0.066635347,-7.084951223,1.39E-12,9.22E-12
